"","x"
"1","Sex"
"2","Party"
"3","Age"
"4","cat_age"
"5","SpecVotes"
"6","TenDummy"
"7","cen10_black"
"8","cen10_kids"
"9","cen10_hh_withkids"
"10","cen10_hispanic"
"11","cen10_mortgage"
"12","cen10_renters"
"13","cen00_gradschool"
"14","cons_apparel"
"15","cons_bankcard"
"16","cons_bookmusc"
"17","cons_childcnt"
"18","cons_contbhlt"
"19","cons_donrever"
"20","cons_electrnc"
"21","cons_environm"
"22","cons_golf"
"23","cons_homeage"
"24","cons_outdgrdn"
"25","cons_outdoor"
"26","cons_ownrent"
"27","cons_smarstat"
"28","cons_veteran"
"29","cons_dbi_autoloan_bank"
"30","cons_dbi_autoloan_cash"
"31","cons_dbi_autoloan_creditunion"
"32","cons_dbi_autoloan_dealer"
"33","cons_dbi_autoloan_tradein"
"34","cons_dbi_autobuyer_new"
"35","cons_dbi_autobuyer_used"
"36","cons_dbi_autoowner_luxury"
"37","cons_dbi_carowner_motorcycle"
"38","cons_dbi_carowner_suv"
"39","cons_dbi_carowner_truck"
"40","cons_dbi_carowner_van"
"41","cons_dbi_banking_carloan"
"42","cons_dbi_banking_atm"
"43","cons_dbi_banking_creditunion"
"44","cons_dbi_banking_homeequity"
"45","cons_dbi_banking_mortgage"
"46","cons_dbi_banking_2ndmortgage"
"47","cons_dbi_banking_internet"
"48","cons_dbi_banking_savingsacct"
"49","cons_dbi_carclub"
"50","cons_dbi_bookclub"
"51","cons_dbi_mailordermusic"
"52","cons_dbi_tv_ppv"
"53","cons_dbi_tv_satellite"
"54","cons_dbi_tv_paychannels"
"55","cons_dbi_educ_bachelors"
"56","cons_dbi_educ_bach_or_postgrad"
"57","cons_dbi_educ_hs"
"58","cons_dbi_educ_postgrad"
"59","cons_dbi_educ_somecollege"
"60","cons_dbi_finance_stock_trader"
"61","cons_dbi_finance_bonds"
"62","cons_dbi_finance_brokerageacct"
"63","cons_dbi_finance_cd_holder"
"64","cons_dbi_finance_common_stock"
"65","cons_dbi_finance_financial_planning"
"66","cons_dbi_finance_ira"
"67","cons_dbi_finance_mutualfund"
"68","cons_dbi_finance_moneymarket"
"69","cons_dbi_finance_mmfund"
"70","cons_dbi_finance_savingsbond"
"71","cons_dbi_finance_employeestock"
"72","cons_dbi_finance_stock_mutualfund"
"73","cons_dbi_finance_stock"
"74","cons_dbi_single_parent"
"75","cons_dbi_digital_camera_owner"
"76","cons_dbi_hobby_camping"
"77","cons_dbi_hobby_needlework"
"78","cons_dbi_insurance_collision"
"79","cons_dbi_insurance_comprehensive"
"80","cons_dbi_insuranec_adnd"
"81","cons_dbi_insurance_liability"
"82","cons_dbi_insurance_dental"
"83","cons_dbi_insurance_health"
"84","cons_dbi_insurance_health_indiv"
"85","cons_dbi_insurance_health_employer"
"86","cons_dbi_insurance_longterm_care"
"87","cons_dbi_insurance_medicare"
"88","cons_dbi_insurance_homeowner"
"89","cons_dbi_insurance_disability"
"90","cons_dbi_insurance_life_holder"
"91","cons_dbi_insurance_life_via_agent"
"92","cons_dbi_insurance_life_annuity"
"93","cons_dbi_insurance_life_combo"
"94","cons_dbi_insurance_life_separate_term"
"95","cons_dbi_insurance_life_separate"
"96","cons_dbi_insurance_life_universal"
"97","cons_dbi_insurance_life_variable"
"98","cons_dbi_insruance_life_via_work"
"99","cons_dbi_insurance_vision"
"100","cons_dbi_internet_travel"
"101","cons_dbi_internet_amazin"
"102","cons_dbi_internet_books"
"103","cons_dbi_internet_auction"
"104","cons_dbi_internet_shopper"
"105","cons_dbi_lifestyle_coupons_heavy"
"106","cons_dbi_lifestyle_coupons_moderate"
"107","cons_dbi_lifestyle_diet_soda_heavy"
"108","cons_dbi_lifestyle_fastfood_heavy"
"109","cons_dbi_lifestyle_fastfood_moderate"
"110","cons_dbi_lifestyle_familyresturant_heavy"
"111","cons_dbi_lifestyle_familyresturante_moderate"
"112","cons_dbi_lifestyle_homeoffice"
"113","cons_dbi_lifestyle_maid"
"114","cons_dbi_lifestyle_smoker"
"115","cons_dbi_lifestyle_smoker_heavy"
"116","cons_dbi_lifestyle_sportsdrinks_heavy"
"117","cons_dbi_lifestyle_vitamins_heavy"
"118","cons_dbi_lifestyle_vitamins_moderate"
"119","cons_dbi_lifestyle_mailorder"
"120","cons_dbi_lifestyle_phoneorder"
"121","cons_dbi_occupation_clierical"
"122","cons_dbi_occupation_executive"
"123","cons_dbi_occupation_construction"
"124","cons_dbi_occupation_professional"
"125","cons_dbi_occupation_retired"
"126","cons_dbi_occupation_workathome"
"127","cons_dbi_conservative"
"128","cons_dbi_liberal"
"129","cons_dbi_moderate"
"130","cons_dbi_technologically_advanced"
"131","cons_dbi_telecom_3way"
"132","cons_dbi_telecom_forwarding"
"133","cons_dbi_telecom_callerid"
"134","cons_dbi_telecom_call_return"
"135","cons_dbi_telecom_call_waiting"
"136","cons_dbi_telecom_intl_calls"
"137","cons_dbi_telecom_longdistance_heavy"
"138","cons_dbi_telecom_gt_60dollars_month"
"139","cons_dbi_telecom_longdistance_moderate"
"140","cons_dbi_telecom_cellphone"
"141","cons_dbi_telecom_fax"
"142","cons_dbi_travel_heavy"
"143","cons_dbi_travel_business"
"144","cons_dbi_travel_business_hotel"
"145","cons_dbi_travel_business_econhotel"
"146","cons_dbi_travel_business_upscalehotel"
"147","cons_dbi_travel_vacation_cruise"
"148","cons_dbi_travel_vacation_gt_2k"
"149","cons_dbi_travel_vacation_heavy"
"150","cons_dbi_travel_vacation_moderate"
"151","cons_dbi_travel_vacation_intl_cruise"
"152","cons_dbi_travel_frequentflier"
"153","cons_dbi_travel_frequentflier_status"
"154","cons_dbi_travel_intl_last_year"
